icao_code,country_code,iata_code,lng,name,lat
WSSS,SG,SIN,103.99,Singapore Changi Airport,1.36
URSS,RU,AER,39.95,Sochi International Airport,43.45
WIII,ID,CGK,106.66,Soekarno-Hatta International Airport,-6.13
EGHI,GB,SOU,-1.36,Southampton Airport,50.95
EGMC,GB,SEN,0.7,London Southend Airport,51.57
KSTL,US,STL,-90.37,Lambert-St. Louis International Airport,38.75
WALL,ID,BPN,116.9,Sultan Aji Muhamad Sulaiman Airport,-1.27
WIOO,ID,PNK,109.4,Supadio Airport,-0.15
USRR,RU,SGC,73.4,Surgut Airport,61.34
EPSC,PL,SZZ,14.9,Szczecin-Goleniow Airport,53.59
LFBO,FR,TLS,1.37,Toulouse-Blagnac Airport,43.63
LIPQ,IT,TRS,13.48,Trieste - Friuli Venezia Giulia Airport,45.82
LBWN,BG,VAR,27.83,Varna Airport,43.23
LIPZ,IT,VCE,12.34,Venice Marco Polo Airport,45.5
SBKP,BR,VCP,-47.14,Viracopos International Airport,-23.01
UUWW,RU,VKO,37.27,Vnukovo International Airport,55.6
EPWA,PL,WAW,20.97,Warsaw Chopin Airport,52.17
CYWG,CA,YWG,-97.23,Winnipeg J. A. Richardson International Airport,49.91
LDZA,HR,ZAG,16.07,Zagreb Franjo Tugman Airport,45.74
LSZH,CH,ZRH,8.56,Zurich Airport,47.45
EKAH,DK,AAR,10.62,Aarhus Airport,56.3
KCAK,US,CAK,-81.44,Akron-Canton Regional Airport,40.92
LTAI,TR,AYT,30.8,Antalya Airport,36.9
KATW,US,ATW,-88.52,Appleton International Airport,44.26
SAZM,AR,MDQ,-57.57,Astor Piazzolla International Airport,-37.93
UNBB,RU,BAX,83.54,Barnaul Airport,53.36
EGAA,GB,BFS,-6.22,Belfast International Airport,54.66
LYBE,RS,BEG,20.31,Belgrade Nikola Tesla Airport,44.82
URMO,RU,OGZ,44.6,Beslan Airport,43.2
LEBB,ES,BIO,-2.91,Bilbao Airport,43.3
LFBD,FR,BOD,-0.71,Bordeaux-Merignac Airport,44.83
UKBB,UA,KBP,30.89,Boryspil International Airport,50.34
LFRB,FR,BES,-4.42,Brest Bretagne Airport,48.45
LKTB,CZ,BRQ,16.7,Brno-Turany Airport,49.15
KBTV,US,BTV,-73.15,Burlington International Airport,44.47
EPBY,PL,BZG,17.98,Bydgoszcz Ignacy Jan Paderewski Airport,53.1
LICC,IT,CTA,15.07,Catania-Fontanarossa Airport,37.47
SARI,AR,IGR,-54.47,Cataratas del Iguazu International Airport,-25.74
LFLB,FR,CMF,5.88,Chambery Airport,45.64
LUKK,MD,KIV,28.93,Chisinau International Airport,46.93
MDST,DO,STI,-70.6,Cibao International Airport,19.41
VOCB,IN,CJB,77.04,Coimbatore International Airport,11.03
KCOS,US,COS,-104.7,Colorado Springs Airport,38.81
SCEL,CL,SCL,-70.79,Comodoro Arturo Merino Benitez International Airport,-33.39
EPWR,PL,WRO,16.89,Wroclaw-Copernicus Airport,51.1
EICK,IE,ORK,-8.49,Cork Airport,51.84
RKTN,KR,TAE,128.65,Daegu International Airport,35.9
YPDN,AU,DRW,130.88,Darwin International Airport,-12.41
EDLW,DE,DTM,7.61,Dortmund Airport,51.52
EGNX,GB,EMA,-1.33,East Midlands Airport,52.83
EGPH,GB,EDI,-3.37,Edinburgh Airport,55.95
SAME,AR,MDZ,-68.79,Mendoza Aerodrome,-32.83
LICJ,IT,PMO,13.1,Falcone-Borsellino Airport,38.18
LEGR,ES,GRX,-3.78,Federico Garcia Lorca Airport,37.19
KFWA,US,FWA,-85.19,Fort Wayne International Airport,40.98
LPPR,PT,OPO,-8.68,Francisco de Sa Carneiro Airport,41.24
RJFF,JP,FUK,130.45,Fukuoka Airport,33.59
SAVC,AR,CRD,-67.47,General Enrique Mosconi International Airport,-45.79
LIMJ,IT,GOA,8.85,Genoa Cristoforo Colombo Airport,44.41
RKPK,KR,PUS,128.94,Gimhae International Airport,35.18
SASJ,AR,JUJ,-65.09,Gobernador Horacio Guzman International Airport,-24.4
KGTF,US,GTF,-111.37,Great Falls International Airport,47.48
KBGM,US,BGM,-75.98,Greater Binghamton Airport,42.21
KROC,US,ROC,-77.67,Greater Rochester International Airport,43.12
EDDH,DE,HAM,9.99,Hamburg Airport,53.63
